###############
A7,A6,A5,A4,A3,A2,A1,A0,C,Z,EQ,NEG,OVR,SWP,IRQ,ENABLE,REGA-EIN,REGA-EOUT,REGB-EIN,REGB-EOUT,REGC-EIN,REGC-EOUT,REGS1-EIN,REGS1-EOUT,REGS2-EIN,REGS2-EOUT,REGF1-EIN,REGF1-EOUT,REGF2-EIN,REGF2-EOUT,PC-EIN,ROM-EDOUT,MEM-EIN,MEM-EOUT,MEMAL-EIN,MEMAH-EIN,STK-EOUT,ROM-EAOUT,PC-EOUT,RST,S3,S2,S1,S0,P2,P1,P0,PG,IV-EIN,IV-EOUT,SPARE1,SPARE2,SPARE3,SPARE4,INC,HALT
0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,1        ,0         ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,1       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  21 - MOV M,IV
0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0        ,0         ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,1       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0, 0 ,1 ,0 ,0 ,0 ,0 ,1     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  22 - UNUSED
0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  23 - UNUSED
0 ,0 ,0 ,1 ,0 ,1 ,1 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  24 - UNUSED
0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  25 - UNUSED
0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  26 - UNUSED
0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  27 - UNUSED
0 ,0 ,0 ,1 ,1 ,0 ,1 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  28 - UNUSED
0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  29 - UNUSED
0 ,0 ,0 ,1 ,1 ,1 ,0 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  30 - UNUSED
0 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  31 - UNUSED
0 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0

###############
A7,A6,A5,A4,A3,A2,A1,A0,C,Z,EQ,NEG,OVR,SWP,IRQ,ENABLE,REGA-EIN,REGA-EOUT,REGB-EIN,REGB-EOUT,REGC-EIN,REGC-EOUT,REGS1-EIN,REGS1-EOUT,REGS2-EIN,REGS2-EOUT,REGF1-EIN,REGF1-EOUT,REGF2-EIN,REGF2-EOUT,PC-EIN,ROM-EDOUT,MEM-EIN,MEM-EOUT,MEMAL-EIN,MEMAH-EIN,STK-EOUT,ROM-EAOUT,PC-EOUT,RST,S3,S2,S1,S0,P2,P1,P0,PG,IV-EIN,IV-EOUT,SPARE1,SPARE2,SPARE3,SPARE4,INC,HALT
#  32 - INC A
0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,1       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0        ,0         ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,1  ,0
#  33 - INC B
0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,1       ,0        ,0       ,0        ,0        ,0         ,0        ,0         ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,1  ,0
#  34 - INC C
0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,1       ,0        ,0        ,0         ,0        ,0         ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,1  ,0
#  35 - INC MA
0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0        ,0         ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,1        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,1  ,0
#  36 - UNUSED
0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  37 - UNUSED
0 ,0 ,1 ,0 ,0 ,1 ,0 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  38 - UNUSED
0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  39 - UNUSED
0 ,0 ,1 ,0 ,0 ,1 ,1 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  40 - UNUSED
0 ,0, 1 ,0 ,1 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  41 - UNUSED
0 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#  42 - UNUSED
